AIR_FLOW,CEXREAL,NE,PIM,QFIN,THA,THW,soot
630.8998974,8.695044339,2576.917925,233.1196491,97.26912781,33.13687515,37.72179413,12.7400121
603.932954,10.88414739,2662.356695,212.2239529,69.32900429,34.30854797,38.01052856,11.36065514
582.3193761,11.7123488,2701.827495,196.1811665,56.37573622,34.7006755,38.32829597,11.19908988
373.2934363,15.49079168,2008.35692,139.1404056,36.70307128,34.70077515,38.73818207,6.583358371
546.516372,4.685425282,1826.808376,217.1239924,139.3521382,34.47218323,39.18511581,4.171708304
548.1086276,4.794043541,1961.887861,246.0305736,138.0120894,35.18364716,39.63057327,3.140412893
573.6023192,5.007603645,2078.84275,245.2289022,131.2062997,35.73978424,40.08218384,4.845069491
581.8730657,5.430767179,2189.623764,243.1999512,125.0775639,36.30989201,40.55332983,7.437751105
584.6805129,5.432581425,2297.021042,242.4260122,120.9063699,36.98024368,40.99707031,9.572825142
592.1728732,5.791996479,2382.131322,242.4306232,117.5821726,37.9325676,41.50333405,12.15482718
600.3401711,6.051268523,2481.224562,242.7936787,113.9075623,39.02406311,42.05482101,13.74186028
603.6293563,7.328062057,2559.495999,239.549753,102.8218503,40.17566681,42.65299225,18.8671212
511.7925075,14.79929052,2525.655088,204.4693496,32.87455156,41.22609711,43.26373291,26.19871766
455.6295401,14.88994782,2516.815204,168.6259185,32.77145071,41.09763336,43.85898209,24.16448975
449.436915,14.8047955,2505.911794,165.7962252,33.82027011,40.69954681,44.52758408,8.056949601
444.6900171,14.71715543,2495.313434,164.8727434,34.70128925,40.49023056,45.16981888,2.289352756
450.1908346,13.86122322,2489.725796,166.3904538,40.41517684,40.32460785,45.74760818,2.264713427
491.0748044,12.71717262,2502.308667,177.6565257,48.23405271,40.16374969,46.23049927,2.589311072
556.9631972,10.80790043,2537.77931,196.314625,68.11895987,40.11244523,46.60840145,2.686155858
572.7011067,11.23540595,2554.079188,202.1160212,61.70944156,40.05713654,46.95932007,2.795210762
569.7792273,11.43626882,2570.667156,199.2147149,59.17486389,40.00227356,47.31838989,2.899011734
563.1601794,11.69918156,2580.259373,195.1289954,54.97881166,39.98589325,47.63734055,2.314127122
522.4943393,14.66915751,2555.011171,179.9189432,32.28059674,39.84976196,47.9516449,2.10532107
453.299611,14.71631176,2545.032816,166.8292717,32.47369475,39.72128671,48.22108137,1.817354741
445.2451223,14.75719019,2531.092529,164.0986866,32.87511053,39.79248047,48.5124855,1.273643669
444.2792479,14.82586208,2520.23155,163.3989526,33.01030415,39.80986023,48.80053329,1.42721225
459.6249017,13.77449794,2518.703689,167.1692544,39.6807244,39.78278732,49.06513977,1.478807333
458.7287273,14.77804852,2513.461964,168.968804,33.61861017,39.78816223,49.31969452,1.385930448
454.1017748,14.50359726,2509.022133,166.659935,35.71777251,39.73257446,49.57923508,1.52226699
471.4352376,13.21188607,2515.013352,170.3791204,44.6177505,39.71349335,49.74517822,1.376605949
513.1634267,12.86540452,2523.431242,181.4747974,46.26730191,39.82849121,49.99653625,1.394765813
506.399156,12.87662506,2532.20347,183.4244948,45.6547881,39.91316223,50.28222656,1.598743153
503.1965468,12.89344506,2539.649259,182.4847292,45.08700133,40.08133316,50.52568817,1.782538594
530.6650901,12.21762371,2551.486306,185.6975918,49.47507389,40.27219391,50.82014847,1.728241808
480.4303821,14.70388794,2533.434733,175.89306,32.93187086,40.46806902,51.05841458,1.691413769
452.965185,14.79559019,2526.430753,166.2005294,32.800818,40.56245422,51.33912659,1.716060776
445.5355531,14.81337631,2517.906518,164.5315978,33.13621096,40.7022171,51.64173889,1.262528913
445.3788575,14.81955147,2511.333229,164.4778075,33.3830114,40.88278198,51.91057587,1.207411987
447.6876342,14.83561325,2503.464258,164.2671903,33.605226,41.0206604,52.21701813,1.270072872
453.9357605,13.92160887,2506.063965,166.2166234,38.92992712,41.17313936,52.43290397,1.323201898
452.784399,14.85822678,2499.568995,167.3662163,33.64644133,41.35614014,52.6794014,1.224345545
445.633455,14.82872963,2492.734274,164.9151306,33.80936537,41.47343826,52.90761566,1.394604864
445.5915578,14.80777645,2486.473148,164.4715614,33.99786075,41.62896729,53.14707947,1.277498188
441.9095156,14.89917374,2479.502042,164.3407593,33.31127221,41.81404877,53.39942169,1.239398382
437.2752107,14.8888167,2476.091132,163.3910384,33.28434159,41.97432709,53.61928558,1.369574902
438.1520199,14.86356258,2469.189682,163.6043495,33.40996523,42.088871,53.79684448,1.246830555
436.2713883,14.91299725,2465.747024,163.3888972,32.940971,42.22286987,54.02456665,1.253696755
424.6611537,15.7008152,2453.246486,160.4877048,28.23609078,42.35179138,54.23839951,1.271538981
391.7626379,17.31853121,2415.197365,152.1433336,18.58980044,42.42569733,54.46378708,1.345896258
363.3604882,21,2376.701335,132.6796326,-0.139115019,42.44618988,54.67316818,1.222334326
319.8592169,21,2151.378093,117.3856078,-20,42.21423544,54.86728894,1.073130162
261.5075382,21,2064.981754,101.5816144,-20,41.81626511,55.06157303,0.924097719
239.5588807,21,2077.394858,94.49970054,-20,41.33663177,55.23202896,0.415588618
225.8811422,21,2033.892829,90.12065386,-1.250452515,40.9764595,55.40533066,0.301322374
266.3824632,11.52353267,2038.991786,103.5711396,37.4796203,40.67655563,55.53386307,0.232034502
424.9578236,7.523355484,2117.859284,155.3914044,101.796011,40.68156584,55.65971542,0.231413797
607.1516715,7.281428226,2241.905093,244.6832265,102.1035327,41.11605453,55.77295685,1.881278633
384.2367525,13.11714268,2208.167621,169.5764087,41.26689185,41.65726471,55.88141251,3.637678782
389.5042919,13.22714043,2222.112652,160.242569,39.40358912,41.84779358,56.01204681,4.166204896
286.2945708,21,2063.99821,110.7604626,-20,41.78638458,56.19485474,2.193067683
185.8982932,21,1900.436927,80.32229033,-20,41.1646347,56.37532043,1.735189153
195.9545346,16.52998782,1929.973324,81.90138853,8.105497329,40.75119019,56.53977203,0.570480191
230.0869897,12.45348644,1934.891487,100.4774595,26.65423039,40.55990219,56.70857239,0.355129146
223.4897573,14.06874297,1917.847658,108.2484542,15.69078389,40.5941124,56.88293457,0.34595484
209.647248,14.51811314,1900.874601,101.6101447,12.57588408,40.41533279,57.02495956,2.084120724
208.7089335,21,1852.534226,88.79207068,-20,40.12951279,57.15135193,1.048215112
187.7724255,21,1808.784095,82.42399132,-20,39.8356781,57.27066422,0.632614566
159.6376674,21,1608.363525,77.87508392,-20,39.57640076,57.38323975,0.27665345
138.7112798,21,1391.723868,76.65204159,-20,39.29951477,57.47346497,0.260138708
125.5645905,21,1252.992708,75.63424349,-20,39.00944519,57.56296921,0.276121053
106.300769,21,997.6432254,76.00061104,-20,38.72321701,57.6640892,0.26164815
67.02328491,15.50136852,793.3853058,66.94129699,16.96030749,38.47566877,57.75469207,0.293788443
61.50760651,13.83182049,793.6716919,62.89493942,21.85189438,38.19184113,57.78071594,0.350397935
66.7518158,15.88303375,800.584683,65.8675847,16.10673207,37.98214722,57.84691238,0.286287151
160.0410461,6.864472389,1079.447266,101.610466,67.51597595,37.81783295,57.91049576,0.677682725
246.4387853,4.486560822,1296.036255,135.0169525,93.28611755,37.9213829,57.97699738,4.188486847
421.7185667,4.942156798,1619.726466,189.7267563,127.9953527,38.08000718,58.07290214,14.1389148
570.4657685,4.774616589,2009.023098,248.1881052,135.4046443,38.29272461,58.116539,21.50235092
310.1132098,11.09695598,2081.021065,148.5253564,42.81251719,38.56377029,58.171875,9.405275499
525.9635588,7.782650881,2319.803198,203.4042607,98.64756115,38.3365097,58.26819611,8.196970073
612.0555771,8.586072066,2518.874164,229.5380266,89.82252928,39.12366104,58.39369965,4.120799524
625.0182012,10.69072386,2651.83668,222.2851185,72.24901063,40.10742188,58.55078125,4.854815709
462.6951928,21,2422.310259,168.5327514,-0.567237268,41.07141113,58.70918274,4.558254387
491.593398,4.550131321,1799.272617,204.7990048,137.3902176,41.28579712,58.93414307,3.573597666
545.7803973,4.601507459,1940.625646,252.4845803,139.0902991,42.09160995,59.20598984,3.115137472
428.7509924,10.09166718,1970.37681,195.7166282,44.27302084,42.96285248,59.4552269,3.76059086
282.534262,11.15684414,1981.975466,131.3888032,37.25211596,42.88692474,59.77113342,7.805451101
329.9708613,10.27180622,2009.84367,142.519241,46.34187029,42.92934366,60.08390618,4.69313837
352.5293118,10.39348984,2038.061146,150.524081,46.7721552,43.4252243,60.45069122,3.09858658
358.9790867,10.64467525,2062.046837,152.040953,45.69260629,43.90297318,60.83269501,3.578745509
362.5209476,10.88874817,2085.481306,151.9799404,44.78652499,44.2457962,61.19322586,2.785459744
368.7343834,11.1365242,2106.774841,153.5461344,44.26110717,44.51041031,61.53652954,2.302903523
377.5177642,11.52265135,2128.471201,157.8985291,43.8760456,44.74664674,61.85257159,2.240690645
383.2353932,11.86345005,2142.004768,160.5375061,43.37906198,45.02867889,62.04427338,2.125754572
375.6816549,12.20562914,2158.453051,158.0071282,42.87006351,45.4352951,62.34485626,1.943210776
380.0006304,12.47624016,2174.066402,158.3289285,42.49615059,45.67430878,62.56827164,1.909303006
540.6266243,10.06898594,2251.673588,213.0792014,68.23676223,45.9706192,62.84598541,1.940539908
479.5593329,10.69022106,2284.616991,194.7751754,63.38013904,46.56780243,63.08692932,2.281666657
494.9611125,10.82761521,2321.423479,194.8503915,62.50537579,46.9796524,63.24801636,3.031650412
486.9341237,12.42588997,2338.921634,191.1177374,50.21598023,47.33111191,63.49082947,2.26642329
468.1479086,13.54362465,2349.847819,183.1592162,40.93995167,47.57001495,63.75137329,1.98494977
457.9839214,13.55803776,2360.741097,177.1716751,40.98914929,47.74087143,64.01483917,1.767080399
448.9421571,13.93918868,2362.078898,173.9996122,38.24084401,47.88736725,64.3200531,1.673625532
434.9385442,14.49654532,2364.36451,170.5266106,34.68317448,48.04255596,64.54807009,1.635734125
432.6223798,14.49075794,2367.177268,169.1721492,34.67783973,48.16188812,64.79718781,1.781889064
416.5687816,14.52776051,2367.659788,171.7609711,34.56930757,48.275177,65.04374695,2.063047021
337.8350324,14.53932858,2374.393411,157.0487316,34.44717505,48.39277649,65.25424957,2.141972973
329.9779074,14.91686845,2372.725755,153.4739053,32.02292944,48.4705658,65.46212769,2.670929722
321.2796496,14.92361935,2379.796301,150.2063121,32.01290979,48.54322038,65.71626238,5.294857328
